name,poi_id,cate,lat,lng,COMMUNITY,AREA_NUMBE
,154314,corporations,41.9196916,-87.772314,BELMONT CRAGIN,19.0
,154368,corporations,41.9199672,-87.7739452,BELMONT CRAGIN,19.0
Monumental Office Building,154470,corporations,41.9094852,-87.7785998,AUSTIN,25.0
,159653,corporations,41.9344373,-87.7861477,BELMONT CRAGIN,19.0
,202041,corporations,41.9092444,-87.8005447,AUSTIN,25.0
Mars Candy Factory,202178,corporations,41.9178473,-87.7919358,AUSTIN,25.0
Mars Candy Factory,202179,corporations,41.9172,-87.7934252,AUSTIN,25.0
AT&T Newcastle Central Office,221521,corporations,41.9905812,-87.7952826,NORWOOD PARK,10.0
Avondale Office Center,226127,corporations,41.9964259,-87.8082764,EDISON PARK,9.0
,252394,corporations,41.978938,-87.8360215,NORWOOD PARK,10.0
,252396,corporations,41.9789133,-87.8352102,NORWOOD PARK,10.0
,252398,corporations,41.9790224,-87.8343738,NORWOOD PARK,10.0
,252399,corporations,41.9787975,-87.833815,NORWOOD PARK,10.0
,252401,corporations,41.9792051,-87.8335794,NORWOOD PARK,10.0
,252402,corporations,41.9798122,-87.8335762,NORWOOD PARK,10.0
,252403,corporations,41.9802234,-87.8337822,NORWOOD PARK,10.0
,252404,corporations,41.9795801,-87.8460167,OHARE,76.0
,252407,corporations,41.9800167,-87.8343108,NORWOOD PARK,10.0
,252408,corporations,41.9800681,-87.8348216,NORWOOD PARK,10.0
,252410,corporations,41.979784,-87.8354203,NORWOOD PARK,10.0
,252411,corporations,41.9801913,-87.8355135,NORWOOD PARK,10.0
,252464,corporations,41.9857891,-87.83427,NORWOOD PARK,10.0
,252630,corporations,41.986136,-87.8387021,OHARE,76.0
Presidents Plaza East,252741,corporations,41.9829182,-87.8422308,OHARE,76.0
Presidents Plaza West,252819,corporations,41.982927,-87.843326,OHARE,76.0
,252865,corporations,41.9850595,-87.8448817,OHARE,76.0
,252871,corporations,41.9855491,-87.8454558,OHARE,76.0
Triangle Plaza East,252876,corporations,41.9830234,-87.8443033,OHARE,76.0
,252878,corporations,41.9865404,-87.8454567,OHARE,76.0
,252881,corporations,41.9871198,-87.8459441,OHARE,76.0
Triangle Plaza West,252882,corporations,41.9830714,-87.8454595,OHARE,76.0
,252883,corporations,41.9804963,-87.8417879,OHARE,76.0
,252884,corporations,41.9806294,-87.8424092,OHARE,76.0
,252885,corporations,41.9796976,-87.8418278,OHARE,76.0
,252886,corporations,41.9804725,-87.8429467,OHARE,76.0
,252887,corporations,41.9798677,-87.8423857,OHARE,76.0
,252888,corporations,41.9796731,-87.8429282,OHARE,76.0
,252889,corporations,41.9795313,-87.8423742,OHARE,76.0
,252890,corporations,41.9802994,-87.8424001,OHARE,76.0
,252891,corporations,41.9802677,-87.8434952,OHARE,76.0
,252892,corporations,41.9806637,-87.8434932,OHARE,76.0
,252893,corporations,41.9798601,-87.8434951,OHARE,76.0
,252894,corporations,41.979462,-87.8435015,OHARE,76.0
,253117,corporations,41.9793673,-87.8755123,OHARE,76.0
,253118,corporations,41.9786974,-87.8753842,OHARE,76.0
Air Canada,253128,corporations,41.9607615,-87.8856756,OHARE,76.0
Bax Global (Former Burlington Northern),253130,corporations,41.9619076,-87.8842525,OHARE,76.0
Gate Gourmet Flight Kitchen,253133,corporations,41.9632774,-87.883407,OHARE,76.0
Jal / Eva / Ba Cargo,253134,corporations,41.9589136,-87.885156,OHARE,76.0
Korean Air Cargo,253135,corporations,41.9593173,-87.8873651,OHARE,76.0
,253137,corporations,41.9605186,-87.8829334,OHARE,76.0
AT&T Garage,253140,corporations,41.9794482,-87.8966003,OHARE,76.0
ATS Maintenance & Storage Building/ Fac Power Substation 7,253141,corporations,41.9774657,-87.8809342,OHARE,76.0
Avis Car Rental Adminstration & Maintenance,253142,corporations,41.983022,-87.8824406,OHARE,76.0
Commonwealth Edison Switchyard,253149,corporations,41.9797427,-87.8962598,OHARE,76.0
Delta Air Freight,253151,corporations,41.9759862,-87.8849411,OHARE,76.0
,253159,corporations,41.9826147,-87.8839102,OHARE,76.0
AT&T O'Hare Central Office,253161,corporations,41.9788768,-87.8966086,OHARE,76.0
O'Hare Airport Structures,253166,corporations,41.9794546,-87.8969669,OHARE,76.0
Terminal 5 Pumping Station,253168,corporations,41.9748118,-87.887428,OHARE,76.0
Aviation Administration Building (DOA/OMP),253189,corporations,41.9948891,-87.8877458,OHARE,76.0
DOA Field Office,253191,corporations,41.9982365,-87.8899189,OHARE,76.0
Air France Cargo,253211,corporations,41.9606101,-87.912955,OHARE,76.0
American Airlines Cargo,253212,corporations,41.9608991,-87.9065811,OHARE,76.0
United Airlines Cargo,253216,corporations,41.9624369,-87.9183195,OHARE,76.0
KLM Royal Dutch Cargo,253217,corporations,41.9599676,-87.9092027,OHARE,76.0
DLH Cargo,253218,corporations,41.9607094,-87.9145447,OHARE,76.0
Delta Airlines Cargo,253220,corporations,41.9636041,-87.9099575,OHARE,76.0
FAA Rtr Antennas & Building,253237,corporations,41.9793881,-87.8975167,OHARE,76.0
H&R Building,253239,corporations,41.9791935,-87.8984113,OHARE,76.0
North Cooling Tower,253244,corporations,41.9798486,-87.8975453,OHARE,76.0
South Cooling Tower,253253,corporations,41.9789887,-87.8977464,OHARE,76.0
Southeast Cooling Tower,253254,corporations,41.9790481,-87.8972891,OHARE,76.0
Department Of Homeland Security,253263,corporations,42.0074948,-87.9033683,OHARE,76.0
Southwest Pumping Station,261803,corporations,41.7396978,-87.725947,ASHBURN,70.0
Lincoln Business Center,265547,corporations,41.7570882,-87.7303993,WEST LAWN,65.0
World's Finest Chocolate,278227,corporations,41.8058612,-87.7150773,ARCHER HEIGHTS,57.0
,279700,corporations,41.7948306,-87.723555,WEST ELSDON,62.0
Citgo,280955,corporations,41.7994519,-87.7240194,WEST ELSDON,62.0
AT&T Lawndale Central Office,290637,corporations,41.854924,-87.7128099,NORTH LAWNDALE,29.0
Streets And Sanitation Yard,294588,corporations,41.8566874,-87.724531,NORTH LAWNDALE,29.0
Central Park Pumping Station,297138,corporations,41.868444,-87.7146543,NORTH LAWNDALE,29.0
,298506,corporations,41.8696599,-87.7078022,NORTH LAWNDALE,29.0
Former Sears Administation Building,298557,corporations,41.8696644,-87.7096851,NORTH LAWNDALE,29.0
The Roscoe Company,299701,corporations,41.8733343,-87.7139189,EAST GARFIELD PARK,27.0
,299829,corporations,41.8693343,-87.7087308,NORTH LAWNDALE,29.0
AT&T Kedzie Central Office,301417,corporations,41.8786632,-87.7131659,EAST GARFIELD PARK,27.0
Kedzie Garage,301606,corporations,41.876415,-87.7072321,EAST GARFIELD PARK,27.0
,301872,corporations,41.8846471,-87.7239757,WEST GARFIELD PARK,26.0
,301876,corporations,41.8835107,-87.7240435,WEST GARFIELD PARK,26.0
Mobil,301983,corporations,41.882349,-87.7248654,WEST GARFIELD PARK,26.0
Chicago Wire Design Co.,310421,corporations,41.9133116,-87.7122371,HUMBOLDT PARK,23.0
Tony's Wholesale,311524,corporations,41.9216214,-87.7251556,LOGAN SQUARE,22.0
R & S Car Wash,313557,corporations,41.9103009,-87.7198464,HUMBOLDT PARK,23.0
,313664,corporations,41.909446,-87.7207802,HUMBOLDT PARK,23.0
,313723,corporations,41.9096666,-87.7211391,HUMBOLDT PARK,23.0
,313738,corporations,41.9096259,-87.721259,HUMBOLDT PARK,23.0
Laystrom Manufacturing,313836,corporations,41.9211114,-87.7250565,LOGAN SQUARE,22.0
W.L. Kercher Co,322008,corporations,41.9248114,-87.7252216,LOGAN SQUARE,22.0
,326629,corporations,41.944075,-87.7089515,AVONDALE,21.0
,326797,corporations,41.9453703,-87.7064809,AVONDALE,21.0
,326830,corporations,41.9456906,-87.7069289,AVONDALE,21.0
AT&T Irving Central Office,328877,corporations,41.9535925,-87.7097048,IRVING PARK,16.0
Structural Iron Works,329667,corporations,41.9440148,-87.7045424,AVONDALE,21.0
CTA North Park Garage,340998,corporations,41.9761219,-87.7069414,NORTH PARK,13.0
Peterson Corporate Center,341195,corporations,41.9899823,-87.7171689,NORTH PARK,13.0
,341811,corporations,41.9790768,-87.7073792,NORTH PARK,13.0
Transformer Building,343132,corporations,41.9862608,-87.7196928,NORTH PARK,13.0
Boiler Plant,343133,corporations,41.9862712,-87.720139,NORTH PARK,13.0
EWC Shop,343136,corporations,41.9856431,-87.7197167,NORTH PARK,13.0
Garage Shops,343137,corporations,41.9860718,-87.7195246,NORTH PARK,13.0
Shell,344777,corporations,41.9753179,-87.7130546,NORTH PARK,13.0
Peterson Executive Center,345038,corporations,41.9905189,-87.7167517,NORTH PARK,13.0
,346346,corporations,41.9969849,-87.7186547,NORTH PARK,13.0
,348615,corporations,41.6919327,-87.6980469,MOUNT GREENWOOD,74.0
Albany Towers,349789,corporations,41.6913796,-87.6981979,MOUNT GREENWOOD,74.0
Central Steel & Wire Co.,380614,corporations,41.8024668,-87.6982315,GAGE PARK,63.0
Chefs Warehouse,396186,corporations,41.8395132,-87.6847121,LOWER WEST SIDE,31.0
Kellogg's,396207,corporations,41.8360764,-87.6990534,SOUTH LAWNDALE,30.0
Power House,396277,corporations,41.8380622,-87.6996074,SOUTH LAWNDALE,30.0
,396287,corporations,41.8373901,-87.6842466,LOWER WEST SIDE,31.0
,396304,corporations,41.8284609,-87.7041095,BRIGHTON PARK,58.0
,396314,corporations,41.8351896,-87.6833375,MCKINLEY PARK,59.0
,397036,corporations,41.8392341,-87.6842511,LOWER WEST SIDE,31.0
,397111,corporations,41.8392053,-87.6841894,LOWER WEST SIDE,31.0
BP,397851,corporations,41.8534389,-87.6851898,LOWER WEST SIDE,31.0
Frozen Assets,399346,corporations,41.8440974,-87.6833211,LOWER WEST SIDE,31.0
Circuit Court Administration Building,399481,corporations,41.843285,-87.6959819,SOUTH LAWNDALE,30.0
Time-Life Building,401935,corporations,41.8922144,-87.6197273,NEAR NORTH SIDE,8.0
,402759,corporations,41.8893814,-87.6345692,NEAR NORTH SIDE,8.0
,402760,corporations,41.889411,-87.6344929,NEAR NORTH SIDE,8.0
,402762,corporations,41.8894233,-87.6347139,NEAR NORTH SIDE,8.0
Sigma Omega Foundation,403436,corporations,41.7744697,-87.5924818,WOODLAWN,42.0
Scottsdale Professional Building,403505,corporations,41.7488135,-87.7381186,ASHBURN,70.0
,404058,corporations,41.8897215,-87.6352494,NEAR NORTH SIDE,8.0
The Plant,404349,corporations,41.8107367,-87.6606969,NEW CITY,61.0
333 North Green,404765,corporations,41.8877187,-87.6481484,NEAR WEST SIDE,28.0
International Tower,404828,corporations,41.9817279,-87.8410012,OHARE,76.0
U.S. Cellular Plaza 1,404839,corporations,41.9819514,-87.8377481,OHARE,76.0
U.S. Cellular Plaza 2,404840,corporations,41.9825626,-87.8387287,OHARE,76.0
U.S. Cellular Plaza 3,404841,corporations,41.9831847,-87.8397186,OHARE,76.0
,406125,corporations,41.8595898,-87.6910184,NORTH LAWNDALE,29.0
Mobil,407174,corporations,41.8639546,-87.6862595,NEAR WEST SIDE,28.0
Goose Island Barrel Warehouse,409296,corporations,41.891486,-87.7005107,HUMBOLDT PARK,23.0
Metra Maintenance,412450,corporations,41.8937262,-87.6965342,HUMBOLDT PARK,23.0
Universal Building,412650,corporations,41.8939545,-87.7027524,HUMBOLDT PARK,23.0
,418605,corporations,41.9105906,-87.6907201,WEST TOWN,24.0
AT&T,419309,corporations,41.9159769,-87.7007653,LOGAN SQUARE,22.0
,423666,corporations,41.9335798,-87.6956089,AVONDALE,21.0
Flow Products Inc,428165,corporations,41.9471146,-87.6944062,NORTH CENTER,5.0
,429488,corporations,41.947174,-87.6955231,NORTH CENTER,5.0
Department of Streets and Sanitation Yard Office,441155,corporations,41.9786395,-87.6886998,LINCOLN SQUARE,4.0
,446653,corporations,41.990774,-87.6875733,WEST RIDGE,2.0
,446687,corporations,41.9907817,-87.6881912,WEST RIDGE,2.0
Marathon,452257,corporations,42.0117919,-87.6910325,WEST RIDGE,2.0
Chicago Rabbinical Council,453279,corporations,42.0191835,-87.6974541,WEST RIDGE,2.0
Car Wash,465483,corporations,41.7097066,-87.6822731,BEVERLY,72.0
AT&T Beverly Central Office,465875,corporations,41.7143195,-87.6644509,BEVERLY,72.0
9415 Office Center,466613,corporations,41.7224852,-87.6817507,BEVERLY,72.0
,467987,corporations,41.71337,-87.6813718,BEVERLY,72.0
AT&T Prospect Central Office,488387,corporations,41.7794479,-87.6828517,CHICAGO LAWN,66.0
AT&T Lafayette Central Office,498552,corporations,41.8269743,-87.6817058,MCKINLEY PARK,59.0
Domino Food,498607,corporations,41.8391524,-87.6829309,LOWER WEST SIDE,31.0
Swift Intermodal,498608,corporations,41.8402499,-87.6801398,LOWER WEST SIDE,31.0
Anthony Marano Co,498609,corporations,41.8402003,-87.6686404,LOWER WEST SIDE,31.0
,498862,corporations,41.8337576,-87.6638238,MCKINLEY PARK,59.0
Public Storage,500497,corporations,41.8271154,-87.664954,MCKINLEY PARK,59.0
City Of Chicago Bureau Of Electricity,502752,corporations,41.8498962,-87.6665368,LOWER WEST SIDE,31.0
City Water Pipe Extension Department,502753,corporations,41.8494224,-87.6668498,LOWER WEST SIDE,31.0
,504798,corporations,41.8520555,-87.6626069,LOWER WEST SIDE,31.0
,504799,corporations,41.8520523,-87.6629438,LOWER WEST SIDE,31.0
,505088,corporations,41.8509841,-87.6655976,LOWER WEST SIDE,31.0
,505107,corporations,41.8512994,-87.6630834,LOWER WEST SIDE,31.0
Czarnowski,505236,corporations,41.8504689,-87.6699494,LOWER WEST SIDE,31.0
Autowares,505252,corporations,41.8504863,-87.6652788,LOWER WEST SIDE,31.0
,505336,corporations,41.8496752,-87.6715432,LOWER WEST SIDE,31.0
,505442,corporations,41.8495945,-87.6654284,LOWER WEST SIDE,31.0
McCann Industries inc,505481,corporations,41.8490313,-87.6641606,LOWER WEST SIDE,31.0
,505485,corporations,41.8486255,-87.6712336,LOWER WEST SIDE,31.0
,505488,corporations,41.8491814,-87.67263,LOWER WEST SIDE,31.0
Grainger Industrial supply,505490,corporations,41.8484404,-87.6664888,LOWER WEST SIDE,31.0
,505492,corporations,41.8495472,-87.6739241,LOWER WEST SIDE,31.0
,505493,corporations,41.8486849,-87.6742702,LOWER WEST SIDE,31.0
,505495,corporations,41.8492026,-87.6748313,LOWER WEST SIDE,31.0
,505496,corporations,41.8484985,-87.6640295,LOWER WEST SIDE,31.0
,505502,corporations,41.8476799,-87.6652974,LOWER WEST SIDE,31.0
,505503,corporations,41.8489211,-87.675436,LOWER WEST SIDE,31.0
Chicago International Produce Market,505508,corporations,41.845852,-87.673035,LOWER WEST SIDE,31.0
Bataglia Distribution,505509,corporations,41.8464041,-87.6666089,LOWER WEST SIDE,31.0
Food Industry Distribution,505521,corporations,41.8467311,-87.6751465,LOWER WEST SIDE,31.0
SIMS Metal Management,505538,corporations,41.8473756,-87.6697772,LOWER WEST SIDE,31.0
Produce Facility,505552,corporations,41.8457959,-87.6752393,LOWER WEST SIDE,31.0
,505553,corporations,41.8471251,-87.6762346,LOWER WEST SIDE,31.0
,505558,corporations,41.8488961,-87.6653496,LOWER WEST SIDE,31.0
,505576,corporations,41.8477058,-87.6689819,LOWER WEST SIDE,31.0
Preferred Freezer Services,505577,corporations,41.8462449,-87.6771497,LOWER WEST SIDE,31.0
Kehoe Design,505586,corporations,41.8452385,-87.6792246,LOWER WEST SIDE,31.0
Bataglia Distribution,505590,corporations,41.8456569,-87.6652296,LOWER WEST SIDE,31.0
Pacella Trucking Express,505593,corporations,41.8452353,-87.6761393,LOWER WEST SIDE,31.0
Heidler Hardwood Lumber Co,505594,corporations,41.8447414,-87.6750855,LOWER WEST SIDE,31.0
,505597,corporations,41.8441176,-87.6753467,LOWER WEST SIDE,31.0
Alsco,505598,corporations,41.8436359,-87.6796255,LOWER WEST SIDE,31.0
QTS Chicago,505604,corporations,41.8422105,-87.6691052,LOWER WEST SIDE,31.0
Chicago Yatch Works,505609,corporations,41.8462308,-87.6679814,LOWER WEST SIDE,31.0
,506892,corporations,41.8468662,-87.6694577,LOWER WEST SIDE,31.0
,507041,corporations,41.8635233,-87.6777765,NEAR WEST SIDE,28.0
,507333,corporations,41.8591183,-87.6658032,LOWER WEST SIDE,31.0
Illinois State Police Forensic Science Center,507619,corporations,41.8662506,-87.6755046,NEAR WEST SIDE,28.0
FBI Chicago Field Office,507654,corporations,41.8657592,-87.6797827,NEAR WEST SIDE,28.0
Veteran Affairs Regional Office,507658,corporations,41.8695186,-87.6795349,NEAR WEST SIDE,28.0
West Side Center for Disease Control,507690,corporations,41.869652,-87.6806888,NEAR WEST SIDE,28.0
American Red Cross of Chicago,507742,corporations,41.8744092,-87.681687,NEAR WEST SIDE,28.0
CCHHS Hoyne Building,508041,corporations,41.8737336,-87.6793166,NEAR WEST SIDE,28.0
311 Call Center,508413,corporations,41.8718587,-87.6798254,NEAR WEST SIDE,28.0
Chicago Fraternal Order of Police,508487,corporations,41.8831562,-87.6629794,NEAR WEST SIDE,28.0
,508776,corporations,41.889604,-87.6705566,WEST TOWN,24.0
Chicago Teachers Union Foundation,508894,corporations,41.8874383,-87.6752569,NEAR WEST SIDE,28.0
,508919,corporations,41.8900547,-87.6765459,WEST TOWN,24.0
Office of Emergency Management & Communications,509751,corporations,41.8810976,-87.6625349,NEAR WEST SIDE,28.0
Bear Stewart Corporation,512661,corporations,41.9002233,-87.6768203,WEST TOWN,24.0
,518287,corporations,41.9105076,-87.663361,WEST TOWN,24.0
2RZ Architecture,519115,corporations,41.9116702,-87.6624721,WEST TOWN,24.0
Sound Specialists,519364,corporations,41.9123499,-87.6628875,WEST TOWN,24.0
,519367,corporations,41.9122079,-87.6637016,WEST TOWN,24.0
,519370,corporations,41.9124625,-87.6638401,WEST TOWN,24.0
,519373,corporations,41.9127165,-87.6640374,WEST TOWN,24.0
,519376,corporations,41.9131441,-87.6643891,WEST TOWN,24.0
,519433,corporations,41.9137871,-87.6648815,WEST TOWN,24.0
"McCathay Timber, Inc",522082,corporations,41.9177608,-87.6666431,LOGAN SQUARE,22.0
BP,523953,corporations,41.9109481,-87.6630776,WEST TOWN,24.0
,527614,corporations,41.9373548,-87.6649086,LAKE VIEW,6.0
,535312,corporations,41.9502527,-87.6745373,NORTH CENTER,5.0
,535315,corporations,41.9500954,-87.674157,NORTH CENTER,5.0
,538450,corporations,41.9566749,-87.6734018,LAKE VIEW,6.0
,538485,corporations,41.9568659,-87.6733949,LAKE VIEW,6.0
,539080,corporations,41.9551888,-87.6800418,NORTH CENTER,5.0
,539457,corporations,41.960764,-87.6747886,NORTH CENTER,5.0
,539459,corporations,41.9631196,-87.6748575,LINCOLN SQUARE,4.0
,539801,corporations,41.9571516,-87.673411,LAKE VIEW,6.0
,539853,corporations,41.9574635,-87.6734413,LAKE VIEW,6.0
Deagan Building,539905,corporations,41.9582405,-87.6734615,LAKE VIEW,6.0
,540050,corporations,41.9590188,-87.6734317,LAKE VIEW,6.0
,540100,corporations,41.959347,-87.6820044,NORTH CENTER,5.0
,540183,corporations,41.9603422,-87.6735085,LAKE VIEW,6.0
,540232,corporations,41.9606144,-87.6736108,LAKE VIEW,6.0
,540260,corporations,41.9608036,-87.6735389,LAKE VIEW,6.0
,540286,corporations,41.9609492,-87.6735173,LAKE VIEW,6.0
,540295,corporations,41.9611294,-87.6735252,LAKE VIEW,6.0
,540317,corporations,41.9613249,-87.6735289,LAKE VIEW,6.0
,540497,corporations,41.9625773,-87.6786185,LINCOLN SQUARE,4.0
,540590,corporations,41.9635681,-87.6749393,LINCOLN SQUARE,4.0
,540623,corporations,41.9638999,-87.6748981,LINCOLN SQUARE,4.0
,540707,corporations,41.964176,-87.6749421,LINCOLN SQUARE,4.0
,540725,corporations,41.9643128,-87.6749456,LINCOLN SQUARE,4.0
,540745,corporations,41.9644434,-87.6748998,LINCOLN SQUARE,4.0
"Accurate Products, Incorporated",542481,corporations,41.9665013,-87.6736864,UPTOWN,3.0
AT&T Edgewater Central Office,545451,corporations,41.974683,-87.6686194,UPTOWN,3.0
Tempel Steel,548176,corporations,41.982637,-87.6776755,LINCOLN SQUARE,4.0
,548178,corporations,41.9803559,-87.678778,LINCOLN SQUARE,4.0
,548179,corporations,41.9803748,-87.6803719,LINCOLN SQUARE,4.0
,548181,corporations,41.9807675,-87.6805443,LINCOLN SQUARE,4.0
,548182,corporations,41.9810913,-87.680554,LINCOLN SQUARE,4.0
,548201,corporations,41.9800644,-87.6758448,LINCOLN SQUARE,4.0
,548520,corporations,41.9830408,-87.6759845,LINCOLN SQUARE,4.0
AT&T Rogers Park Central Office,551165,corporations,42.0057489,-87.6709695,ROGERS PARK,1.0
,553175,corporations,41.9959908,-87.6818637,WEST RIDGE,2.0
,557020,corporations,42.0218957,-87.6751595,ROGERS PARK,1.0
,569774,corporations,41.9648068,-87.6786173,LINCOLN SQUARE,4.0
Chicago Water Management Storage Yard,569779,corporations,41.7224528,-87.6492814,WASHINGTON HEIGHTS,73.0
Racine Shops,596819,corporations,41.7789576,-87.6548431,WEST ENGLEWOOD,67.0
,597576,corporations,41.7794125,-87.645532,ENGLEWOOD,68.0
,597582,corporations,41.7794137,-87.6457579,ENGLEWOOD,68.0
Former CPD 7th District Police Station,598814,corporations,41.7829141,-87.6548888,WEST ENGLEWOOD,67.0
,608386,corporations,41.8061358,-87.6513268,NEW CITY,61.0
,608448,corporations,41.8067171,-87.6531056,NEW CITY,61.0
,608455,corporations,41.8081289,-87.6541164,NEW CITY,61.0
,608877,corporations,41.8066924,-87.6506699,NEW CITY,61.0
,609041,corporations,41.8061061,-87.6533702,NEW CITY,61.0
,610627,corporations,41.8029126,-87.641788,NEW CITY,61.0
,610870,corporations,41.8045726,-87.6471228,NEW CITY,61.0
,610926,corporations,41.8045877,-87.6480351,NEW CITY,61.0
,610979,corporations,41.8040109,-87.6484436,NEW CITY,61.0
,610983,corporations,41.8040031,-87.648889,NEW CITY,61.0
Illinois Packing Co.,611058,corporations,41.807584,-87.6538864,NEW CITY,61.0
,612260,corporations,41.8084604,-87.6542156,NEW CITY,61.0
Vienna Beef,612324,corporations,41.8240995,-87.6515617,BRIDGEPORT,60.0
Racine Avenue Pumping Station,612384,corporations,41.8250131,-87.6577671,MCKINLEY PARK,59.0
Life Storage,612906,corporations,41.8230658,-87.6419318,NEW CITY,61.0
,616260,corporations,41.8329853,-87.6507656,BRIDGEPORT,60.0
Greif Bros. Cooperage Corp.,620112,corporations,41.8543845,-87.6492113,LOWER WEST SIDE,31.0
,620283,corporations,41.8534787,-87.6554723,LOWER WEST SIDE,31.0
,620307,corporations,41.853539,-87.6566367,LOWER WEST SIDE,31.0
,620318,corporations,41.8545459,-87.6599163,LOWER WEST SIDE,31.0
H. Kramer and Company,620402,corporations,41.8538242,-87.6601276,LOWER WEST SIDE,31.0
,620852,corporations,41.8558159,-87.6462821,LOWER WEST SIDE,31.0
,620873,corporations,41.8558732,-87.6469091,LOWER WEST SIDE,31.0
,621008,corporations,41.85407,-87.6557438,LOWER WEST SIDE,31.0
,621033,corporations,41.8532776,-87.6582382,LOWER WEST SIDE,31.0
,621040,corporations,41.8534451,-87.6559565,LOWER WEST SIDE,31.0
,621048,corporations,41.853082,-87.6559813,LOWER WEST SIDE,31.0
Chicago Regional Council of Carpenters,621049,corporations,41.853484,-87.6435689,LOWER WEST SIDE,31.0
,621053,corporations,41.8535389,-87.6414154,LOWER WEST SIDE,31.0
Carimichael Truck Repair,621054,corporations,41.8516978,-87.661441,LOWER WEST SIDE,31.0
Ozinga,621055,corporations,41.8524161,-87.6425516,LOWER WEST SIDE,31.0
Illinois Brick Company,621057,corporations,41.8505508,-87.6602821,LOWER WEST SIDE,31.0
,621058,corporations,41.8520207,-87.6461475,LOWER WEST SIDE,31.0
,621065,corporations,41.8507884,-87.6580682,LOWER WEST SIDE,31.0
,621066,corporations,41.8503663,-87.6459677,LOWER WEST SIDE,31.0
,621067,corporations,41.8511678,-87.6429899,LOWER WEST SIDE,31.0
Ozinga,621069,corporations,41.850929,-87.6434141,LOWER WEST SIDE,31.0
Food Truck Facility,621070,corporations,41.8512282,-87.6592734,LOWER WEST SIDE,31.0
,621072,corporations,41.8498938,-87.6470822,LOWER WEST SIDE,31.0
Bus Storage,621075,corporations,41.8491044,-87.6589114,LOWER WEST SIDE,31.0
,621078,corporations,41.8477061,-87.6460777,BRIDGEPORT,60.0
Iron Mountain Data & Record Storage,621081,corporations,41.848794,-87.6455049,BRIDGEPORT,60.0
U-Haul,622092,corporations,41.8531937,-87.6408953,LOWER WEST SIDE,31.0
,622107,corporations,41.8532327,-87.6424757,LOWER WEST SIDE,31.0
Chicago Regional Council of Carpenters,622133,corporations,41.8530385,-87.6435805,LOWER WEST SIDE,31.0
,622219,corporations,41.8523154,-87.6477364,LOWER WEST SIDE,31.0
,622223,corporations,41.8528672,-87.6473582,LOWER WEST SIDE,31.0
,622274,corporations,41.8531471,-87.6487143,LOWER WEST SIDE,31.0
AT&T,622288,corporations,41.8515976,-87.6492077,LOWER WEST SIDE,31.0
Meade Construction,622341,corporations,41.8505051,-87.6509702,LOWER WEST SIDE,31.0
Fisk Generating Station,622352,corporations,41.8495878,-87.6537569,LOWER WEST SIDE,31.0
,622360,corporations,41.8508543,-87.6555431,LOWER WEST SIDE,31.0
,622364,corporations,41.8534463,-87.6473384,LOWER WEST SIDE,31.0
,622366,corporations,41.8485931,-87.6536028,LOWER WEST SIDE,31.0
,622368,corporations,41.8514616,-87.6541562,LOWER WEST SIDE,31.0
,622370,corporations,41.8510513,-87.6551227,LOWER WEST SIDE,31.0
,622403,corporations,41.8502354,-87.6545557,LOWER WEST SIDE,31.0
,622416,corporations,41.8510574,-87.6539872,LOWER WEST SIDE,31.0
Illinois Brick Company,622426,corporations,41.8496565,-87.6604117,LOWER WEST SIDE,31.0
,622433,corporations,41.851556,-87.6624721,LOWER WEST SIDE,31.0
,622447,corporations,41.8498808,-87.6557978,LOWER WEST SIDE,31.0
,622481,corporations,41.8509278,-87.6539422,LOWER WEST SIDE,31.0
,622503,corporations,41.8513239,-87.6533485,LOWER WEST SIDE,31.0
,622533,corporations,41.8509787,-87.6540211,LOWER WEST SIDE,31.0
,622559,corporations,41.8498193,-87.6557722,LOWER WEST SIDE,31.0
,622561,corporations,41.8517821,-87.6573912,LOWER WEST SIDE,31.0
,622586,corporations,41.8508925,-87.653939,LOWER WEST SIDE,31.0
,622590,corporations,41.8511289,-87.6555634,LOWER WEST SIDE,31.0
,622653,corporations,41.8492636,-87.6528513,LOWER WEST SIDE,31.0
,622664,corporations,41.8514441,-87.6534876,LOWER WEST SIDE,31.0
,622706,corporations,41.8485584,-87.6540421,LOWER WEST SIDE,31.0
,622740,corporations,41.8509493,-87.6534626,LOWER WEST SIDE,31.0
,622761,corporations,41.8491333,-87.6526959,LOWER WEST SIDE,31.0
,622770,corporations,41.8519076,-87.6573817,LOWER WEST SIDE,31.0
,622804,corporations,41.8503182,-87.6545697,LOWER WEST SIDE,31.0
,622832,corporations,41.8510467,-87.6540259,LOWER WEST SIDE,31.0
,622841,corporations,41.8490171,-87.6577131,LOWER WEST SIDE,31.0
,622911,corporations,41.8494437,-87.6552476,LOWER WEST SIDE,31.0
,622931,corporations,41.8519893,-87.6574065,LOWER WEST SIDE,31.0
,622945,corporations,41.8508453,-87.656422,LOWER WEST SIDE,31.0
,622949,corporations,41.8537871,-87.6478555,LOWER WEST SIDE,31.0
,623002,corporations,41.8509528,-87.6533598,LOWER WEST SIDE,31.0
,623038,corporations,41.8506547,-87.6524291,LOWER WEST SIDE,31.0
,623133,corporations,41.8507091,-87.652922,LOWER WEST SIDE,31.0
,623139,corporations,41.8505603,-87.655546,LOWER WEST SIDE,31.0
,623185,corporations,41.8515296,-87.6579613,LOWER WEST SIDE,31.0
